addressinfo,county,enforcement_action,enforcement_action_no,enforcement_action_issued,case_closed,media,program,upload_id,city,state,zip,ai_combined
18900 Beallsville Rd,Montgomery,Settlement Agreement,SA-13-1729,2012-08-08T00:00:00.000,2012-08-13T00:00:00.000,Non-Tidal Wetlands;Sediment;Waterway Construction,,,Beallsville,MD,20839,133239 - Beallsville Big John Run
"east of Hickory Ln, north side of MD Rte 6",Charles,Penalty Settlement,C-16-2352,2015-10-09T00:00:00.000,2016-03-03T00:00:00.000,Sediment,,,La Plata,MD,20646,142239 - Charles Street Overlook
4719 Reels Mill Rd,Frederick,Settlement Agreement,Joe Bieberich,2014-06-10T00:00:00.000,2014-09-19T00:00:00.000,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),,Frederick,MD,21704,137362 - Izaak Walton League stream filling
430 Greenland Beach Rd,Anne Arundel,Settlement Agreement,Arno Laud,2014-03-06T00:00:00.000,2015-02-05T00:00:00.000,Surface Water Discharge Unauthorized,,,Baltimore,MD,21226,123524 - Greenland Beach Yacht Basin
Washington Ave,Kent,Penalty Settlement,C-16-2200,2015-08-31T00:00:00.000,2015-09-28T00:00:00.000,Sediment,,,Chestertown,MD,21620,147459 - Washington College-New Academic Bldg
Lots 4R and 5R,Calvert,Settlement Agreement,SA-13-1788,2012-10-31T00:00:00.000,2014-09-14T00:00:00.000,Tidal Wetlands,,,Solomons,MD,20688,129215 - Fowler Land Development
3705 Harbor Road,Calvert,Penalty Settlement,PS-18-2483,2017-08-23T00:00:00.000,2017-08-31T00:00:00.000,Sediment;Surface Water Discharge Permit,,,Chesapeake Beach,MD,20732,31447 - Abner's Marina
County Wide Sewerage System,Frederick,Required Confirmation,Lenn Roberts,2020-11-02T00:00:00.000,2020-11-23T00:00:00.000,Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,21704,31403 - Frederick County Sanitary Sewer Overflows
Autumn Crest Dr,Frederick,Penalty Settlement,C-16-2324,2015-10-07T00:00:00.000,2015-11-25T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Frederick,MD,21701,141665 - Harvest Ridge Associates LLC
12793 Folly Quarter Rd,Howard,Stipulated Penalty,Arno Laud,2018-08-20T00:00:00.000,2018-11-28T00:00:00.000,Groundwater Discharge Permit,,,Ellicott City,MD,21042,19730 - Glenelg Country School
"Red Hill Rd, Ben Boulevard, Elkton, Maryland 21921,  39.61253°,  -75.80515°",Cecil,Settlement Agreement,SCO-10-1067,2012-09-14T00:00:00.000,2014-03-12T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Elkton,MD,21921,"63616 - Red Hill Lots (1-84)
Phase 2 - Ben BLVD and Erin Court Lots 18-56"
8214 Oakland Sang Run Rd,Garrett,Settlement Agreement,SA-15-2159,2014-09-29T00:00:00.000,2014-10-26T00:00:00.000,Surface Water Appropriation;Waterway Construction,,,Oakland,MD,21550,136268 - Hershfeld-Hoyes Run
17111 Hunter Green Rd,Baltimore,,,,2024-10-15T00:00:00.000,Not Assigned,,,Upperco,MD,21155,65929 - 17111 Hunter Green Rd
200 Shady Ln,Wicomico,Penalty Settlement,Patrick Noyes,2018-07-17T00:00:00.000,2018-07-31T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Fruitland,MD,21826,23669 - Fruitland Wastewater Treatment Plant
"3810 Fort Armistead Rd., Key Recycling",Baltimore City,"Complaint, Order, Penalty",Jessica Herpel,2019-06-03T00:00:00.000,2021-03-09T00:00:00.000,Surface Water Discharge Permit,Industrial Stormwater,,Baltimore,MD,21226,"133274 - Key Recycling, LLC"
2401 Hawkins Point Rd,Baltimore City,,,,2012-01-23T00:00:00.000,Not Assigned,,,Baltimore,MD,21226,134403 - 2401 Hawkins Point Rd
72 West Washington St,Washington,Penalty Settlement,C-16-2323,2015-10-07T00:00:00.000,2015-10-20T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Hagerstown,MD,21740,92003 - Rosewood Village
12100 Swan Point Rd,Charles,Amended Consent Order,ACO-14-2066,2014-03-11T00:00:00.000,2018-03-01T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Issue,MD,20664,21876 - Swan Point WWTP
1010 Roslyn Ave,Dorchester,Penalty Settlement,Patrick Noyes,2018-03-23T00:00:00.000,2018-05-15T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Major,,Cambridge,MD,21613,4013 - Cambridge WWTP
7201 ROSSVILLE BLVD,Baltimore,Penalty Settlement,"Bull, Kevin",2015-06-30T00:00:00.000,2015-07-24T00:00:00.000,Surface Water Discharge Unauthorized,Municipal Minor,,Essex,MD,21221,"89976 - Community College At Ba Co, Essex/swm"
10808 Greenspring Ave,Baltimore,Penalty Settlement,PS-16-2298,2015-08-14T00:00:00.000,2015-09-09T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Lutherville Timonium,MD,21093,148049 - Lystra Meadows
9624 Stephen Decatur Hwy.,Worcester,Consent Order,COP-13-1825,2013-01-07T00:00:00.000,2018-11-27T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Berlin,MD,21811,18426 - Mystic Harbour WWTP
County Wide Sewerage System,Allegany,Stipulated Penalty,SP-21-2723,2020-12-31T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1597406'},County-wide,MD,0,31405 - Allegany County Sanitary Sewer Overflows
"Trout Run/Laurel Run, Steyer Mine Rd",Garrett,Penalty Settlement,SAP-14-2011,2013-03-05T00:00:00.000,2013-11-13T00:00:00.000,Sediment;Waterway Construction,,,Oakland,MD,21550,136929 - Darvin Moon
13525 Rustling Oaks Drive,Talbot,Penalty Settlement,PS-15-2302,2015-08-13T00:00:00.000,2015-08-26T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Wye Mills,MD,21679,22963 - Preserve at Wye Mills WWTP
"Agricopia Sec8,9, condo 2, end of Llano Dr.",Charles,Penalty Settlement,C-15-2264,2015-06-04T00:00:00.000,2015-06-17T00:00:00.000,Sediment,,,La Plata,MD,20646,"146252 - Agricopia Sections 8,9, condo 2 end of Llano Dr., La Plata"
Mt. Zion Rd,Garrett,Penalty Settlement,SA-14-2049,2013-04-24T00:00:00.000,2014-02-18T00:00:00.000,Sediment,,,Swanton,MD,21561,139385 - Sharpless Mine Rd
2644 Riva Rd,Anne Arundel,Penalty Settlement,PS-13-1830,2013-01-18T00:00:00.000,2013-02-07T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Annapolis,MD,21401,9680 - Anne Arundel County Dept of Public Works/ Parking Lot
101 Shore Dr,Harford,Consent Order,CO-12-1670,2012-06-05T00:00:00.000,2016-01-05T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Joppa,MD,21085,18883 - Joppatowne WWTP
1161 Old New Windsor Pike,Carroll,Penalty Settlement,PS-20-2653,2020-05-04T00:00:00.000,2020-05-18T00:00:00.000,Not Assigned,,,Westminster,MD,21158,23482 - The City of Westminster Water Reclamation Facility (WRF)
County Wide Sewerage System,Cecil,Required Confirmation,Jami Everton,2020-02-28T00:00:00.000,2020-09-04T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31407 - Cecil County Sanitary Sewer Overflows
26455 High Banks Dr,Wicomico,Consent Decree,Eastern,2016-03-07T00:00:00.000,2019-12-05T00:00:00.000,Tidal Wetlands,,,Salisbury,MD,21801,"69296 - Willing, Frank"
1200 White Sands,Calvert,Consent Decree,Patrick Noyes,2015-06-30T00:00:00.000,2017-09-28T00:00:00.000,Tidal Wetlands,,,Lusby,MD,20657,64297 - Vera's Beach Club
"off KIng Wildesen Rd, Windmill Rd",Garrett,Penalty Settlement,13-GA-0006,2013-03-26T00:00:00.000,2013-04-03T00:00:00.000,Sediment,,,Oakland,MD,21550,139397 - US Cellular Oakland South
7610 Shirley Boulevard,Charles,Settlement Agreement,SAP-13-1814,2012-12-21T00:00:00.000,2013-08-26T00:00:00.000,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Notice of Intent (Construction),,Port Tobacco,MD,20677,"111958 - Mona, Scott/port Tobacco Marina/dredging"
44841 Glebe Road,St. Mary's,Consent Order,CO-17-2426,2016-12-22T00:00:00.000,2019-05-16T00:00:00.000,Tidal Wetlands,,,Valley Lee,MD,20692,92446 - Paul & Carol Choporis
"Lot 43, 1506 Broadford Rd",Garrett,Penalty Settlement,PS-13-1945,2012-04-11T00:00:00.000,2013-06-07T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Oakland,MD,21550,133628 - Eggleston Disposal Site
2180 Potts Point Rd,Calvert,Consent Decree,CJ-13-1827,2012-12-20T00:00:00.000,2014-07-14T00:00:00.000,Tidal Wetlands,,,Huntingtown,MD,20639,"68447 - James Strippy, Jr."
County Wide Sewerage System,Baltimore,Stipulated Penalty,Kevin Bull,2016-05-24T00:00:00.000,2016-06-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31394 - Baltimore County Sanitary Sewer Overflows
3310 Kenilworth Ave,Prince George's,Penalty Settlement,Patrick Noyes,2019-03-18T00:00:00.000,2019-06-06T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Stormwater,,Hyattsville,MD,20781,"21041 - WB Waste Solutions, LLC"
4455 Northwoods Trail,Carroll,Stipulated Penalty,SP-23-2850,2022-11-15T00:00:00.000,2023-01-18T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2389247'},Hampstead,MD,21074,11313 - Hampstead WWTP
6405 Seabay Drive,Worcester,Penalty Settlement,"Bull, Kevin",2014-11-13T00:00:00.000,2014-12-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Ocean City,MD,21842,18734 - Ocean City WWTP
Cedar Street,Caroline,Penalty Settlement,SAP-12-1656,2012-05-04T00:00:00.000,2012-04-27T00:00:00.000,Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction),,Greensboro,MD,21639,130511 - Kinnamon Meadows
"Montana Lane, off Foster Road, Route 219",Garrett,Settlement Agreement,Scott Boylan,2018-12-07T00:00:00.000,2019-12-16T00:00:00.000,Non-Tidal Wetlands;Sediment;Waterway Construction,,,Oakland,MD,21550,153645 - Custer Timber Harvest
12200 River Rd,Montgomery,Consent Decree,Lenn Roberts,2016-04-15T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1860825'},Potomac,MD,20854,5314 - WSSC Potomac WFP Water Filtration Plant
525 Taylors Island Rd,Dorchester,Consent Order,CO-18-2484,2017-07-18T00:00:00.000,2017-07-18T00:00:00.000,Tidal Wetlands,Industrial Minor,,Taylors Island,MD,21669,144617 - Tideland Cooperative Campground
near MD Rte 313 & MD Rte 480,Caroline,Required Confirmation,Jess Herpel,2020-02-13T00:00:00.000,2020-02-25T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Greensboro,MD,21639,103186 - Greensboro Regional WWTP
3 Buttonwood Lane,Cecil,Consent Order,CO-15-2146,2014-09-22T00:00:00.000,2018-03-09T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Port Deposit,MD,21904,22929 - Maple Hill Mobile Home Park
4370 Renner Road,Charles,Penalty Settlement,C-16-2285,2015-07-31T00:00:00.000,2015-09-29T00:00:00.000,Sediment,,,Waldorf,MD,20602,144805 - Rockfish Solar LLC
13200 Deerfield Rd,Prince George's,Penalty Settlement,SP-20-2628,2019-11-12T00:00:00.000,2019-12-27T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Laurel,MD,20708,150992 - Sewer Main Overflow at 13200 Deerfield Road Laurel
10200 Faulkner Road,Charles,Consent Decree,Lenn Roberts,2013-05-01T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1435977'},Faulkner,MD,20664,23551 - GenOn MD Ash Management LLC-Faulkner Flyash Management Site
530 E South St,Frederick,Settlement Agreement,Patrick Noyes,2018-12-14T00:00:00.000,2018-12-26T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Frederick,MD,21701,"19262 - Daniel G. Schuster, Inc. - Frederick Plant"
1142 Marine Road,Wicomico,Stipulated Penalty,Patrick Noyes,2018-12-28T00:00:00.000,2019-01-14T00:00:00.000,Surface Water Discharge Unauthorized,Municipal Major,,Salisbury,MD,21801,7992 - Salisbury WWTP
15602 Lohr Rd,Frederick,Settlement Agreement,SAP-20-2638,2020-02-18T00:00:00.000,2024-09-24T00:00:00.000,Non-Tidal Wetlands;Sediment;Waterway Construction,,,Thurmont,MD,21788,137161 - Robert Kline Farm
3820 Chestnut Rd,Baltimore,Settlement Agreement,SAP-15-2131,2014-09-02T00:00:00.000,2014-09-30T00:00:00.000,Tidal Wetlands,,,Middle River,MD,21220,135433 - John Bohlen /3820 Chestnut Rd
County Wide Sewerage System,Harford,Penalty Settlement,Kevin Bull,2016-08-23T00:00:00.000,2016-09-20T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31408 - Harford County Sanitary Sewer Overflows
Blueball Rd,Cecil,Penalty Settlement,,2022-04-29T00:00:00.000,2022-05-26T00:00:00.000,Not Assigned,,,Elkton,MD,21921,172349 - Blueball Investment Group LLC
455 Lore Rd,Calvert,Penalty Settlement,PS-14-2102,2014-06-30T00:00:00.000,2014-07-17T00:00:00.000,Tidal Wetlands,,,Solomons,MD,20688,"20487 - Spring Cove Marina Solomons, LLC"
1802 Northwood Drive,Wicomico,Required Confirmation,SC-O-12-1516,,2010-12-29T00:00:00.000,Not Applicable,,,Salisbury,MD,21801,132263 - D. W. Burt Concrete Construction
4300 Shannon Dr.,Baltimore City,Consent Decree,CJ-21-2692,2021-02-10T00:00:00.000,2024-10-15T00:00:00.000,Sediment;Stormwater Management,Industrial Stormwater,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2727877'},Baltimore,MD,21213,"31284 - P & J Contracting Company, Inc."
5923 Castle Haven Road,Dorchester,Consent Order,SA-16-2370,2016-02-03T00:00:00.000,2019-12-10T00:00:00.000,Non-Tidal Wetlands;Tidal Wetlands,,,Cambridge,MD,21613,"76978 - Vanloon, Lawrence A/pier  And  Boatlift"
610 Pittman Rd,Anne Arundel,Penalty Settlement,C-17-2453,2017-02-16T00:00:00.000,2017-04-17T00:00:00.000,Sediment,,,Curtis Bay,MD,21226,2824 - Vibrantz Technologies
"12525 Vanous Rd, Dean Rose",Calvert,Complaint & Penalty,AP-16-2316,2015-10-16T00:00:00.000,2016-01-11T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Dunkirk,MD,20754,137478 - 12525 Vanous Rd
7320 Holter Rd,Frederick,Penalty Settlement,Joe Bieberich,2017-04-13T00:00:00.000,2017-05-10T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Middletown,MD,21769,22208 - Middletown East WWTP
3360 Livingston Road,Charles,Temporary Restraining Order,,2013-05-29T00:00:00.000,2013-10-03T00:00:00.000,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction),,Indian Head,MD,20640,137152 - Johnson Auto Parts & Recycling
2401 Hawkins Point Rd,Anne Arundel,Penalty Settlement,C-15-2205,2015-01-07T00:00:00.000,2015-01-22T00:00:00.000,Sediment,,,Curtis Bay,MD,21226,1792 - US Coast Guard Yard (USCG Yard)
MD 109,Montgomery,Penalty Settlement,C-14-1998,2013-09-23T00:00:00.000,2013-10-10T00:00:00.000,Sediment;Waterway Construction,,,Hyattstown,MD,20871,108026 - The Global Mission Church Of Greater
6100 Ray Norwood Road,Calvert,Penalty Settlement,16-GL-0952,2018-02-12T00:00:00.000,2018-03-05T00:00:00.000,Tidal Wetlands,,,Prince Frederick,MD,20678,154560 - Terry and Faye Shields
County Wide Sewerage System,Harford,Penalty Settlement,PS-13-1718,2012-07-12T00:00:00.000,2012-08-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31408 - Harford County Sanitary Sewer Overflows
3705 Harbor Road,Calvert,Consent Decree,CJ-13-1905,2013-04-12T00:00:00.000,2018-12-18T00:00:00.000,Surface Water Discharge Permit;Tidal Wetlands,Industrial Stormwater,,Chesapeake Beach,MD,20732,31447 - Abner's Marina
corner of Hamilton Park Rd and Western Pkwy,Charles,Settlement Agreement,C-18-2498,2017-11-09T00:00:00.000,2017-12-26T00:00:00.000,Sediment,,,Waldorf,MD,20601,154335 - Hamilton Park
1237 Maiden Choice Lane,Baltimore,Settlement Agreement,AP-12-1550,2013-10-31T00:00:00.000,2013-07-02T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Unauthorized,,,Arbutus,MD,21229,132001 - Charles Kucera
7012-B Muirkirk Rd,Prince George's,Penalty Settlement,PS-13-1883,2013-03-15T00:00:00.000,2013-04-22T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Beltsville,MD,20705,139190 - American Infrastructure site near MARC Train Station Beltsville
1010 Roslyn Ave,Dorchester,Administrative Order,CO-12-1462,2011-09-09T00:00:00.000,2014-06-30T00:00:00.000,Surface Water Discharge Permit,,,Cambridge,MD,21613,4013 - Cambridge WWTP
3105 Ervin Ct,Anne Arundel,Penalty Settlement,PS-14-2000,2014-03-21T00:00:00.000,2013-11-12T00:00:00.000,Tidal Wetlands,,,Annapolis,MD,21403,88666 - Robert Gregg Meserve - Kitty/Duvall Spur
"2511 Washington Overlook Dr, Ste B",Prince George's,,,,2024-09-17T00:00:00.000,Not Assigned,,,Fort Washington,MD,20744,68505 - Washington Overlook
South Schumaker Drive,Wicomico,,,,2018-05-22T00:00:00.000,Not Assigned,,,Salisbury,MD,21802,65587 - Schumaker Landing
"Rte 36 , Moscow",Allegany,Required Confirmation,SC-0-12-1416,,2016-05-13T00:00:00.000,Not Applicable,,,Barton,MD,21521,63968 - Troxell Warnick
4105 Annapolis Road,Baltimore,Penalty Settlement,Arno Laud,2018-07-17T00:00:00.000,2018-08-15T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Halethorpe,MD,21227,"9561 - Bob's Auto Collision, Inc."
4116 Shoreham Beach Rd,Anne Arundel,"Complaint, Order, Penalty",COP-15-2199,2013-08-05T00:00:00.000,2018-10-24T00:00:00.000,Tidal Wetlands,,,Mayo,MD,21106,68582 - Kaufmann/Ketter property
County Wide Sewerage System,Cecil,Penalty Settlement,"Bull, Kevin",2015-03-31T00:00:00.000,2015-04-22T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31407 - Cecil County Sanitary Sewer Overflows
US 50 and Old Railroad Rd,Wicomico,Settlement Agreement,Patrick Noyes,2010-01-25T00:00:00.000,2014-03-21T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),,Hebron,MD,21837,66460 - The Plantations
various locations on the NSF,Charles,Penalty Settlement,PS-13-1881,2013-03-18T00:00:00.000,2013-03-19T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Indian Head,MD,20640,134280 - Indian Head NSF/FY 2009 Demolition & Footprint Reduction Program - Phase 2
Water St,Carroll,Penalty Settlement,"Bull, Kevin",2015-07-31T00:00:00.000,2015-08-27T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,New Windsor,MD,21776,21839 - New Windsor WWTP
958 Baltimore Annapolis Blvd,Anne Arundel,Penalty Settlement,C-16-2385,2016-04-01T00:00:00.000,2016-06-07T00:00:00.000,Sediment,,,Severna Park,MD,21146,143658 - AA DPW-Baltimore-Annapolis Boulevard
39001  Van Ward Rd,St. Mary's,Settlement Agreement,PS-13-1858,2013-02-14T00:00:00.000,2014-07-14T00:00:00.000,Tidal Wetlands,,,Abell,MD,20606,66241 - Alexander C Landsburg
24820 Meeting House Rd,Caroline,Penalty Settlement,OPS-14-1978,2013-08-15T00:00:00.000,2013-09-03T00:00:00.000,Groundwater Discharge Permit,Industrial Minor,,Denton,MD,21629,"3746 - Choptank Electric Cooperative, Inc."
1634 Dunn Swamp Road,Worcester,Penalty Settlement,PS-15-2164,2014-10-09T00:00:00.000,2014-10-21T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Pocomoke City,MD,21851,18826 - Pocomoke City WWTP
17877 Piney Point Rd,St. Mary's,Settlement Agreement,SA-14-2007,2013-10-11T00:00:00.000,2014-09-05T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Piney Point,MD,20674,88 - Piney Point LLC
700-712 Lisbon Center Dr,Howard,Consent Order,COP-15-2254,2015-05-14T00:00:00.000,2020-09-01T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Woodbine,MD,21797,22962 - Lisbon Shopping Plaza
7460 Conowingo Ave,Howard,Penalty Settlement,PS-13-1912,2013-04-08T00:00:00.000,2013-06-18T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Jessup,MD,20794,35012 - Maryland Wholesale Produce Market
St. Mary's Ave & Hibiscus Ct,Charles,Site Complaint,,,2016-07-13T00:00:00.000,Not Applicable,,,La Plata,MD,20646,65333 - St. Mary's Villas
MD 180 in Jefferson to Brunswick at MD 180 & 17 intersect,Frederick,Penalty Settlement,C-14-2089,2014-05-08T00:00:00.000,2014-07-07T00:00:00.000,Sediment;Waterway Construction,,,Brunswick,MD,21758,137839 - Washington Gas-Brunswick Spur
2911 52nd Ave,Prince George's,Penalty Settlement,Patrick Noyes,2019-03-18T00:00:00.000,2019-06-06T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Major,,Hyattsville,MD,20781,35046 - Lawrence Street Industry
corner of Hill Road and Cobb Island Road,Charles,Penalty Settlement,PS-14-2112,2014-05-27T00:00:00.000,2015-06-22T00:00:00.000,Tidal Wetlands,,,Newburg,MD,20664,142668 - Shymansky property
6600 Crain Hwy,Prince George's,Penalty Settlement,C-14-2077,2014-04-08T00:00:00.000,2014-05-01T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Upper Marlboro,MD,20772,5034 - WSSC Western Branch WRRF
City Wide Sewerage System,Baltimore City,Stipulated Penalty,SP-19-2372,2018-11-27T00:00:00.000,2019-01-08T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Baltimore,MD,0,31395 - Baltimore City Sanitary Sewer Overflows
8201 Eastern Ave,Baltimore,Settlement Agreement and Consent Order,CO-22-2817,2022-06-10T00:00:00.000,,Surface Water Discharge Permit,Municipal Major,,Baltimore,MD,21224,8449 - Back River WWTP
11629 Gladhill Brothers Road,Frederick,Penalty Settlement,PS-15-2224,2015-02-24T00:00:00.000,2015-03-20T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Monrovia,MD,21770,98314 - Frank Gladhill-Gladhill Acres
55 Thiokol Road,Cecil,Penalty Settlement,PS-15-2169,2014-10-30T00:00:00.000,2014-12-04T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Elkton,MD,21921,2193 - Northrop Grumman Systems Corporation - Elkton
Rte 36 North,Allegany,Site Complaint,,,2016-05-13T00:00:00.000,Not Applicable,,,Barton,MD,21521,135109 - Kevin Clark
City Wide Sewerage System,Baltimore City,Consent Decree,"Bull, Kevin",2002-09-30T00:00:00.000,2017-10-10T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Baltimore,MD,0,31395 - Baltimore City Sanitary Sewer Overflows
6929 Heron Grove Ct,Wicomico,Penalty Settlement,Patrick Noyes,2017-11-20T00:00:00.000,2018-02-19T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Parsonsburg,MD,21804,141378 - Heron Grove Ct
11508 E Maple Ave,Prince George's,Required Confirmation,Arno Laud,2015-07-24T00:00:00.000,2015-10-16T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Beltsville,MD,20705,3630 - Greenlight Biofuels
Red Oak Rd.,Garrett,,,,2024-09-27T00:00:00.000,Not Assigned,,,Oakland,MD,21550,"64729 - Synergics Wind Energy, LLC"
Inlet located @ Thunder Island Parking Lot,Worcester,Penalty Settlement,"Bull, Kevin",2015-08-05T00:00:00.000,2015-08-28T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Ocean City,MD,21842,147441 - Century Carpet Cleaning Company
8321 Leishear Road,Howard,Penalty Settlement,PS-13-1874,2013-03-26T00:00:00.000,2013-08-14T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Major,,Laurel,MD,20723,112589 - MD & VA Milk Producers Coop
4333 Forestville Rd,Prince George's,Settlement Agreement,Patrick Noyes,2018-12-14T00:00:00.000,2018-12-26T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,District Heights,MD,20747,158663 - Schuster Concrete- Forestville Rd Plant
11611 Vale Summit Rd,Allegany,,,,2024-09-11T00:00:00.000,Not Assigned,,,Frostburg,MD,21532,66316 - Larry Guthrie Forest Harvest
County Wide Sewerage System,Howard,Penalty Settlement,SP-14-2005,2013-10-02T00:00:00.000,2013-11-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31409 - Howard County Sanitary Sewer Overflows
County Wide Sewerage System,Frederick,Penalty Settlement,Joe Bieberich,2017-04-04T00:00:00.000,2017-04-11T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,21704,31403 - Frederick County Sanitary Sewer Overflows
Fort Detrick,Frederick,Penalty Settlement,PS-13-1944,2013-06-10T00:00:00.000,2013-08-09T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Frederick,MD,21702,139911 - USAMRID Replacement Phase I
5200 Glen Arm Road,Baltimore,Consent Order,CO-12-1563,2012-02-03T00:00:00.000,2020-02-28T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Glen Arm,MD,21057,134795 - United Container Acquisition Building Business Trust
WHITE HALL YACHT YARD INC,Anne Arundel,Settlement Agreement,SA-14-2046,2014-01-27T00:00:00.000,2014-01-27T00:00:00.000,Tidal Wetlands,,,Annapolis,MD,21401,113856 - White Hall Yacht Yard/boat Ramp
9624 Stephen Decatur Hwy.,Worcester,Stipulated Penalty,Patrick Noyes,2018-11-05T00:00:00.000,2018-11-27T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Berlin,MD,21811,18426 - Mystic Harbour WWTP
Rte 5 at Winters Lane,St. Mary's,,,,2020-03-05T00:00:00.000,Not Assigned,,,Leonardtown,MD,20650,19080 - Winters Apartments WWTP
Boyce Mill Rd,Caroline,,,,2024-09-27T00:00:00.000,Not Assigned,,,Greensboro,MD,21636,67044 - Anton Spiering NTW
105 W Ruark Dr,Wicomico,Penalty Settlement,PS-13-1777,2012-11-14T00:00:00.000,2012-11-14T00:00:00.000,Notice of Intent;Sediment,,,Salisbury,MD,21801,138176 - AT&T Store Salisbury MD
MD 193 and Kings Valley Dr,Prince George's,Penalty Settlement,Patrick Noyes,2012-09-25T00:00:00.000,2012-10-22T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Mitchellville,MD,20774,64881 - MD193 and Kings Valley Drive
18120 Henderson Rd,Caroline,Consent Decree,Joe Bieberich,2012-06-06T00:00:00.000,2016-09-12T00:00:00.000,Surface Water Discharge Unauthorized,,,Marydel,MD,21649,64774 - Hilltop Mobile Home Park
